"","N_raw","N_trimmed","Percent_trimmed","N_nonhuman","Percent_nonhuman","N_AMR","Percent_AMR","N_VIR","Percent_VIR","N_PHAG","Percent_PHAG","N_kaiju","N_kaijuClassified","Percent_kaijuClassified","N_kaijublast","N_kaijublastClassified","Percent_kaijublastClassified"
"TTS1122",3786032,3754501,99.17,107195,2.86,53,0.0494,36076,33.6546,477,0.445,100000,91883,91.883,1e+05,8308,8.308
"TTS1123",3478736,3413889,98.14,530709,15.55,168,0.0317,225138,42.4221,17767,3.3478,100000,92037,92.037,1e+05,11965,11.965
"TTS1131",3964694,3928323,99.08,73799,1.88,148,0.2005,26286,35.6184,239,0.3239,100000,91893,91.893,1e+05,5234,5.234
"TTS1134",3328672,3302832,99.22,86755,2.63,49,0.0565,29114,33.5589,528,0.6086,100000,92849,92.849,1e+05,8262,8.262
"TTS1141",3613568,3585071,99.21,200549,5.59,44,0.0219,58353,29.0966,13104,6.5341,100000,89565,89.565,1e+05,12419,12.419
"TTS1146",3336632,3306133,99.09,32674,0.99,0,0,16617,50.857,35,0.1071,100000,84366,84.366,1e+05,62,0.062
"TTS1149",3723481,3694198,99.21,500424,13.55,274,0.0548,41220,8.237,809,0.1617,100000,95280,95.28,1e+05,7631,7.631
"TTS1160",3388401,3362223,99.23,49266,1.47,7,0.0142,20643,41.9011,258,0.5237,100000,85671,85.671,1e+05,5382,5.382
"TTS1170",3668562,3617337,98.6,44225,1.22,1,0.0023,26373,59.6337,55,0.1244,100000,80181,80.181,1e+05,462,0.462
"TTS1188",3103104,3076538,99.14,1913641,62.2,242,0.0126,169741,8.8701,12347,0.6452,100000,96584,96.584,1e+05,8900,8.9
"TTS1189",3084083,3061028,99.25,183711,6,39,0.0212,58893,32.0574,2031,1.1055,100000,90039,90.039,1e+05,8901,8.901
"TTS1194",3020116,2993606,99.12,68477,2.29,51,0.0745,22252,32.4956,502,0.7331,100000,89892,89.892,1e+05,10666,10.666
"TTS1200",3710209,3654186,98.49,51569,1.41,7,0.0136,23506,45.5816,526,1.02,100000,81853,81.853,1e+05,2563,2.563
"TTS1203",3705655,3673477,99.13,43467,1.18,0,0,27216,62.613,70,0.161,100000,81601,81.601,1e+05,241,0.241
"TTS1204",2983341,2926403,98.09,239796,8.19,61,0.0254,67569,28.1777,4003,1.6693,100000,90718,90.718,1e+05,18433,18.433
"TTS1205",3791573,3761895,99.22,64690,1.72,10,0.0155,25449,39.3399,415,0.6415,100000,86623,86.623,1e+05,3697,3.697
"TTS1210",3623460,3561373,98.29,1448717,40.68,233,0.0161,286274,19.7605,46006,3.1756,100000,91440,91.44,1e+05,13961,13.961
"TTS1212",4323080,4295370,99.36,56577,1.32,113,0.1997,22016,38.9133,80,0.1414,100000,88747,88.747,1e+05,2753,2.753
"TTS1214",4236791,4175997,98.57,327643,7.85,302,0.0922,70853,21.6251,2604,0.7948,100000,92360,92.36,1e+05,16546,16.546
"TTS1223",3533607,3499028,99.02,48312,1.38,12,0.0248,19855,41.0974,201,0.416,100000,87476,87.476,1e+05,2519,2.519
"TTS1263",3948817,3915334,99.15,52359,1.34,4,0.0076,28664,54.7451,108,0.2063,100000,85293,85.293,1e+05,1739,1.739
"TTS1272",3485084,3437126,98.62,61789,1.8,8,0.0129,32162,52.0513,352,0.5697,100000,83781,83.781,1e+05,2613,2.613
"TTS1301",3598982,3539204,98.34,38699,1.09,0,0,16829,43.4869,68,0.1757,100000,83280,83.28,1e+05,366,0.366
"TTS1320",3344636,3287655,98.3,106917,3.25,58,0.0542,36697,34.3229,3020,2.8246,100000,88616,88.616,1e+05,8977,8.977
"TTS1330",3687958,3662587,99.31,48686,1.33,8,0.0164,23839,48.9648,108,0.2218,100000,83914,83.914,1e+05,2524,2.524
