SampleID,Alias,BioProject,accession,biosample_accession,Cohort,,,,,
TBS524,#N/A,PRJNA590225,SRR12512334,SAMN15897858,Cross_sectional,,,,,
TBS556,#N/A,PRJNA590225,SRR12512333,SAMN15897859,Cross_sectional,,,,,
TBS559,#N/A,PRJNA982297,SRR24889408,SAMN35699720,Cross_sectional,,,,,
TBS587,#N/A,PRJNA982297,SRR24889407,SAMN35699721,Cross_sectional,,,,,
TBS596,#N/A,PRJNA590225,SRR12512332,SAMN15897860,Cross_sectional,,,,,
TBS656,#N/A,PRJNA982297,SRR24889406,SAMN35699722,Cross_sectional,,,,,
TBS663,#N/A,PRJNA590225,SRR12512330,SAMN15897861,Cross_sectional,,,,,
TBS664,#N/A,PRJNA590225,SRR12512329,SAMN15897862,Cross_sectional,,,,,
TBS668,#N/A,PRJNA590225,SRR12512328,SAMN15897863,Cross_sectional,,,,,
TBS670,#N/A,PRJNA590225,SRR12512327,SAMN15897864,Cross_sectional,,,,,
TBS671,#N/A,PRJNA982297,SRR24889405,SAMN35699723,Cross_sectional,,,,,
TBS672,#N/A,PRJNA982297,SRR24889404,SAMN35699724,Cross_sectional,,,,,
TH0007,#N/A,PRJNA982297,SRR24889403,SAMN35699725,Cross_sectional,,,,,
TH0008,#N/A,PRJNA982297,SRR24889401,SAMN35699726,Cross_sectional,,,,,
TH0016,#N/A,PRJNA982297,SRR24889400,SAMN35699727,Cross_sectional,,,,,
TH0017,#N/A,PRJNA982297,SRR24889399,SAMN35699728,Cross_sectional,,,,,
TH0019,#N/A,PRJNA982297,SRR24889398,SAMN35699729,Cross_sectional,,,,,
TT0003,#N/A,PRJNA590225,SRR12512326,SAMN15897865,Cross_sectional,,,,,
TT0005,#N/A,PRJNA590225,SRR12512325,SAMN15897866,Cross_sectional,,,,,
TT0006,#N/A,PRJNA590225,SRR12512324,SAMN15897867,Cross_sectional,,,,,
TT0009,#N/A,PRJNA590225,SRR12512323,SAMN15897868,Cross_sectional,,,,,
TT0010,#N/A,PRJNA982297,SRR24889397,SAMN35699730,Cross_sectional,,,,,
TT0011,#N/A,PRJNA590225,SRR12512322,SAMN15897869,Cross_sectional,,,,,
TT0012,#N/A,PRJNA590225,SRR12512321,SAMN15897870,Cross_sectional,,,,,
TT0014,#N/A,PRJNA595703,SRR10693275,SAMN13565135,Cross_sectional,,,,,
TT0015,#N/A,PRJNA982297,SRR24889396,SAMN35699731,Cross_sectional,,,,,
TT0016,#N/A,PRJNA590225,SRR12512319,SAMN15897871,Cross_sectional,,,,,
TT0017,#N/A,PRJNA982297,SRR24889395,SAMN35699732,Cross_sectional,,,,,
TT0018,#N/A,PRJNA590225,SRR11661724,SAMN14790067,Cross_sectional,,,,,
TT0019,#N/A,PRJNA590225,SRR11661723,SAMN14790068,Cross_sectional,,,,,
TT0021,#N/A,PRJNA590225,SRR11661722,SAMN14790069,Cross_sectional,,,,,
TT0025,#N/A,PRJNA590225,SRR12512318,SAMN15897872,Cross_sectional,,,,,
TT0029,#N/A,PRJNA595703,SRR17202113,SAMN23897175,Cross_sectional,,,,,
TT0030,#N/A,PRJNA590225,SRR11661721,SAMN14790070,Cross_sectional,,,,,
TT0031,#N/A,PRJNA590225,SRR12512317,SAMN15897873,Cross_sectional,,,,,
TT0033,#N/A,PRJNA590225,SRR11661720,SAMN14790071,Cross_sectional,,,,,
TT0034,#N/A,PRJNA590225,SRR11661719,SAMN14790072,Cross_sectional,,,,,
TT0038,#N/A,PRJNA590225,SRR11661718,SAMN14790073,Cross_sectional,,,,,
TT0040,#N/A,PRJNA982297,SRR24889394,SAMN35699733,Cross_sectional,,,,,
TT0042,#N/A,PRJNA982297,SRR24889393,SAMN35699734,Cross_sectional,,,,,
TT0043,#N/A,PRJNA590225,SRR12512316,SAMN15897874,Cross_sectional,,,,,
TT0045,#N/A,PRJNA590225,SRR12512315,SAMN15897875,Cross_sectional,,,,,
TT0048,#N/A,PRJNA590225,SRR12512314,SAMN15897876,Cross_sectional,,,,,
TT0049,#N/A,PRJNA590225,SRR12512313,SAMN15897877,Cross_sectional,,,,,
TT0051,#N/A,PRJNA982297,SRR24889392,SAMN35699735,Cross_sectional,,,,,
TT0053,#N/A,PRJNA590225,SRR12512312,SAMN15897878,Cross_sectional,,,,,
TT0059,#N/A,PRJNA590225,SRR12512311,SAMN15897879,Cross_sectional,,,,,
TT0060,#N/A,PRJNA590225,SRR12512310,SAMN15897880,Cross_sectional,,,,,
TT0061,#N/A,PRJNA590225,SRR11661717,SAMN14790074,Cross_sectional,,,,,
TT0062,#N/A,PRJNA590225,SRR12512306,SAMN15897881,Cross_sectional,,,,,
TT0063,#N/A,PRJNA590225,SRR11661716,SAMN14790075,Cross_sectional,,,,,
TT0065,#N/A,PRJNA590225,SRR12512370,SAMN15897882,Cross_sectional,,,,,
