Sequence_ID	Order	Percent_of_votes	Family	Percent_of_votes
k141_1721440.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_172193.concoct_part_1	Caudovirales	100	Myoviridae	50
k141_1721993.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1722050.concoct_part_0	Caudovirales	100	Siphoviridae	66.6666666666667
k141_1722268.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1725600.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1728999.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1736548.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1738530.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1738530.concoct_part_1	Caudovirales	100	Siphoviridae	100
k141_1739027.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1742381.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1751589.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1752446.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1759802.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1766482.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1769606.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1775878.concoct_part_0	Caudovirales	100	Podoviridae	66.6666666666667
k141_1776970.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1779313.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_178488.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_179189.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1792115.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1792577.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1793432.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1793649.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1795084.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1796377.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_180769.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1808497.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1808600.concoct_part_0	Caudovirales	100	Myoviridae	50
k141_1808686.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1812879.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1815541.concoct_part_3	Caudovirales	100	Siphoviridae	60
k141_182327.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1823993.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1824206.concoct_part_0	Caudovirales	100	Podoviridae	66.6666666666667
