,Aminoglycoside,Tetracycline ,Phenicol,Multidrug ,"Macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic",Nucleoside antibiotic,Peptide antibiotic,Nitroimidazole antibiotic,Fluoroquinolone,Aminocoumarin antibiotic,Beta-lactam,Antibacterial free fatty acids,Triclosan,Fosfomycin,Diaminopyrimidine,Sulfonamide antibiotic,Rifampicin,Mupirocin,Bicyclomycin,Acridine dye,Fusidic acid
SG0003,0,0,16.5960297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG0006,0,0,0,446.3864168,25.13146856,0,0,0,0,0,37.25483218,0,0,99.04424287,0,0,0,0,0,0,0
SG0012,21.4569573,179.6783258,8.770549742,3.739145622,158.1032176,10.13501847,0,0,5.334783126,0,14.18736932,0,0,0,0,0,0,0,0,0,0
SG0024,0,29.62576882,7.070516697,6.810079446,64.35948467,0,0,0,357.1489254,0,0,6.785249044,0,0,0,4.059696466,0,2.256736789,0,0,0
SG0025,0,0,0,626.0813829,0,0,0,0,31.99636491,0,160.4602529,0,0,145.8604342,0,0,0,0,0,0,0
SG0028,0,0,0,24.85047117,14.86755857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG0031,296.3276415,15.29854581,193.195624,2654.295231,108.7218021,17.03480031,214.0091703,0,50.50423395,51.43631299,78.2786314,0,261.6869906,77.7761472,0,0,0,0,159.2849403,0,0
TBE0001,210.015261,0,290.9061022,1985.040441,152.6889873,0,156.1130303,0,45.40051884,0,93.52304786,0,335.1567734,46.660581,0,0,0,0,79.36099593,0,0
TBE0002,0,30.57566524,0,35.74886593,98.14326103,0,0,0,228.6739136,0,0,8.104270533,0,0,0,0,0,0,0,0,0
TBE0003,0,19.16160588,56.3759891,150.9451746,18.78681427,0,0,0,9.088818613,0,0,0,0,0,0,0,0,0,0,0,0
TBE0004,271.9897832,135.089725,0,18.96504493,110.584701,3.645673558,0,0,0,0,235.58504,0,0,0,0,0,0,0,0,0,0
TBE0005,119.9827445,0,254.6341938,2188.103026,110.2592296,0,198.8800952,0,0,0,55.30351254,0,258.6129617,87.03574458,0,0,0,0,91.03685141,0,0
TBE0006,0,124.7232691,0,3.290264031,12.4714676,0,0,0,11.37290602,0,15.50470569,0,0,0,0,0,0,3.001912324,0,0,0
TBE0007,218.6924193,3.994249342,133.7972151,1989.272973,91.88483219,0,140.1520529,0,0,0,47.80368515,0,297.2095855,73.66698144,0,0,0,0,81.44383405,0,0
TBE0008,0,0,0,444.3460409,35.78508689,0,0,0,17.87543709,0,26.67672446,0,8.049374723,0,0,0,0,0,0,0,0
TBE0009,0,129.8413925,0,48.47235932,112.461901,0,0,0,81.12612407,0,25.49090682,0,0,13.73102041,0,0,0,0,0,0,0
TBE0010,0,0,0,0,0,0,0,0,153.4719734,0,0,0,0,0,0,0,0,0,0,0,0
TBE0011,0,14.72844286,0,14.32231689,0,0,147.0070769,0,0,0,0,0,14.71030687,0,0,0,0,0,0,0,0
TBE0012,0,63.19200702,0,15.17403792,103.1242588,0,0,0,458.2541232,0,4.62604941,0,0,0,0,0,0,0,0,0,0
TBE0013,0,27.12169777,0,0,10.73239932,0,58.0113633,0,17.13432082,0,194.4776711,0,0,0,0,0,0,0,0,0,0
TBE0014,0,28.94587586,0,3.272862507,30.82423922,0,0,0,13.0782615,0,9.642895668,3.773750217,0,0,0,0,0,0,0,0,0
TBE0015,0,129.4754366,0,18.48934358,138.0136603,0,0,0,313.271314,0,158.7947299,0,0,0,0,0,0,0,0,0,0
TBE0016,292.6240303,12.65276884,284.6192624,2992.163718,114.327416,0,272.624116,0,0,0,116.4664328,0,378.4084244,82.22096299,0,0,0,0,100.5215716,0,0
TBS002,0,39.09084146,0,8.631805206,73.01761117,0,0,0,137.0289805,0,0,0,0,0,0,0,0,0,0,0,0
TBS006,0,28.66622918,0,7.506030492,20.91634296,0,0,0,76.75012713,0,26.68154066,13.0312767,0,0,0,7.703480851,0,0,0,0,0
TBS011,46.17886693,84.39419852,11.76127071,351.0722581,24.11413603,0,26.9083828,0,87.51767345,0,84.65715042,3.455830723,45.58807971,13.99243534,12.46973448,8.200885941,0,0,13.15911978,0,0
TBS035,0,0,0,95.54679535,0,0,0,0,35.95994453,0,0,0,0,0,0,0,0,0,0,0,0
TBS150,0,0,0,36.41981306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS153,0,29.97365255,0,0,108.1364532,0,0,0,113.4775156,0,0,0,0,0,0,0,0,0,0,0,0
TBS160,114.2767352,0,160.9051741,1929.084693,94.90785602,0,189.1791869,0,0,0,34.10278705,0,232.5377355,119.0038543,0,0,0,0,84.70148402,0,0
TBS165,0,22.83855259,0,86.47072589,72.0430673,0,0,0,127.7712276,0,3.440699915,55.14371076,0,0,0,0,0,7.426733694,0,0,0
TBS277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS349,0,14.87557105,0,9.949500302,53.0103224,0,0,0,273.7827738,0,466.4291775,0,0,0,0,0,0,0,0,0,0
TBS365,17.83061311,0,0,201.6766807,0,0,69.76352295,0,4.210411116,0,6.525965757,0,0,0,0,0,0,0,0,0,0
TBS385,0,72.66967008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS387,193.6304151,0,0,190.8285085,0.923626428,0,43.13026642,0,1.260042686,0,195.5379607,0,0,0,0,0,0,0,0,0,0
TBS396,0,0,0,174.9989211,0,0,27.20688345,0,19.61309172,0,13.85176946,0,0,0,0,0,0,0,0,0,0
